skill,demand_count,gap_score
python,64870,0.040717537539912536
sql,64509,0.0404909454164054
aws,58614,0.03679077763780536
azure,24118,0.015138362423117167
tableau,23804,0.014941271213196826
power bi,20446,0.012833525089271648
excel,20399,0.012804024175684844
spark,13815,0.00867138555748253
machine learning,10278,0.006451284890322507
docker,10227,0.006419273260685764
deep learning,3417,0.0021447791856618026
